gpu,cpu,method,grid_size,timesteps,mean_time_sec,std_dev_sec
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,NumPy (CPU),50,100,3.401828,0.040172
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,CuPy (GPU),50,100,3.958279,0.006783
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,Naive (CPU),50,100,3.926855,0.017470
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,NumPy (CPU),100,100,3.407367,0.013515
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,CuPy (GPU),100,100,3.980786,0.015633
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,Naive (CPU),100,100,5.749640,0.136485
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,NumPy (CPU),250,100,3.444420,0.010230
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,CuPy (GPU),250,100,3.969522,0.059869
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,Naive (CPU),250,100,17.619467,0.200276
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,NumPy (CPU),500,100,3.671278,0.021884
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,CuPy (GPU),500,100,4.050522,0.020421
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,Naive (CPU),500,100,68.674714,1.871485
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,NumPy (CPU),1000,100,4.565737,0.046215
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,CuPy (GPU),1000,100,4.293339,0.071092
NVIDIA_GeForce_RTX_3070,AMD_Ryzen_9_5950X_16-Core_Processor,Naive (CPU),1000,100,281.833278,1.806362
